EFO Accession,CLO Accession,,Step,Type
EFO_0002113,CLO_0001910,,EFO-CLS-CLO,Valid
EFO_0006358,CLO_0001428,,EFO-CLS-CLO,Valid
EFO_0006778,CLO_0009711,,EFO-CLS-CLO,Valid
EFO_0006777,CLO_0009636,,EFO-CLS-CLO,Valid
EFO_0002311,CLO_0008276,,EFO-CLS-CLO,Valid
EFO_0006722,CLO_0008278,,EFO-CLS-CLO,Valid
EFO_0006650,CLO_0007718,,EFO-CLS-CLO,Valid
EFO_0002830,CLO_0050804,,EFO-CLS-CLO,Valid
EFO_0002235,CLO_0007720,,EFO-CLS-CLO,Valid
EFO_0002895,CLO_0050805,,EFO-CLS-CLO,Valid
EFO_0002318,CLO_0008827,,EFO-CLS-CLO,Valid
EFO_0002323,CLO_0008905,,EFO-CLS-CLO,Valid
EFO_0002177,CLO_0002947,,EFO-CLS-CLO,Valid
EFO_0002836,CLO_0050048,,EFO-CLS-CLO,Valid
EFO_0006611,CLO_0050164,,EFO-CLS-CLO,Valid
EFO_0002309,CLO_0008239,,EFO-CLS-CLO,Valid
EFO_0001208,CLO_0007633,,EFO-CLS-CLO,Valid
EFO_0005462,CLO_0009219,,EFO-CLS-CLO,Valid
EFO_0006649,CLO_0007695,,EFO-CLS-CLO,Valid
EFO_0006647,CLO_0007675,,EFO-CLS-CLO,Valid
EFO_0007610,CLO_0008906,,EFO-CLS-CLO,Valid
EFO_0002197,CLO_0003814,,EFO-CLS-CLO,Valid
EFO_0003132,CLO_0003657,,EFO-CLS-CLO,Valid
EFO_0001180,CLO_0003655,,EFO-CLS-CLO,Valid
EFO_0006454,CLO_0007635,,EFO-CLS-CLO,Valid
EFO_0005375,CLO_0003654,,EFO-CLS-CLO,Valid
EFO_0002187,CLO_0003652,,EFO-CLS-CLO,Valid
EFO_0006361,CLO_0001566,,EFO-CLS-CLO,Valid
EFO_0002100,CLO_0001551,,EFO-CLS-CLO,Valid
EFO_0002104,CLO_0001590,,EFO-CLS-CLO,Valid
EFO_0002105,CLO_0001596,,EFO-CLS-CLO,Valid
EFO_0002252,CLO_0007992,,EFO-CLS-CLO,Valid
EFO_0001181,CLO_0003658,,EFO-CLS-CLO,Valid
EFO_0006657,CLO_0007990,,EFO-CLS-CLO,Valid
EFO_0001205,CLO_0007631,,EFO-CLS-CLO,Valid
EFO_0002251,CLO_0007989,,EFO-CLS-CLO,Valid
EFO_0001173,CLO_0003640,,EFO-CLS-CLO,Valid
EFO_0002186,CLO_0003641,,EFO-CLS-CLO,Valid
EFO_0005373,CLO_0003644,,EFO-CLS-CLO,Valid
EFO_0005372,CLO_0003636,,EFO-CLS-CLO,Valid
EFO_0002819,CLO_0002192,,EFO-CLS-CLO,Valid
EFO_0001171,CLO_0003637,,EFO-CLS-CLO,Valid
